"miRNA_ID","Lycorine_A1","Bufalin_B3","DMSO_C5","Lycorine_A9","Bufalin_B12","DMSO_C14","Lycorine_A18","Bufalin_B20","DMSO_C22"
"rno-miR-6332",30,20,22,6,14,12,6,6,23
"rno-miR-324-5p",17,51,51,63,44,57,48,36,64
"rno-miR-6327",2,0,0,0,0,0,0,0,0
"rno-miR-874-5p",6,1,6,5,1,6,6,4,1
"rno-miR-337-5p",2,11,12,23,20,27,26,15,28
"rno-miR-138-1-3p",2,1,0,0,0,1,0,1,1
"rno-miR-760-3p",9,20,13,25,19,26,5,13,12
"rno-miR-1247-3p",0,0,1,0,0,0,0,1,0
"rno-miR-128-1-5p",5,2,6,8,5,8,3,1,8
"rno-miR-363-5p",0,1,0,1,1,0,1,0,2
"rno-miR-667-5p",3,2,7,3,0,1,0,3,3
"rno-miR-299b-5p",0,0,0,0,0,0,1,0,0
"rno-miR-200c-5p",0,0,1,0,1,0,1,0,0
"rno-miR-7578",7,1,4,0,0,3,1,0,9
"rno-miR-5132-5p",19,8,7,6,6,6,3,3,11
"rno-miR-223-5p",1,22,11,5,28,19,11,15,25
"rno-miR-151-3p",596,6165,2846,7594,5533,6623,3463,2557,4694
"rno-let-7b-3p",53,326,186,519,329,470,222,183,278
"rno-miR-98-3p",5,40,19,44,38,41,29,19,28
"rno-miR-3596d",0,0,0,0,0,0,0,0,0
"rno-let-7f-1-3p",26,251,154,300,247,301,175,108,196
"rno-let-7f-2-3p",63,160,110,344,213,230,193,139,222
"rno-let-7d-3p",568,3214,2135,5989,4431,5254,2960,2173,3549
"rno-let-7e-3p",19,98,83,165,170,182,107,82,100
"rno-miR-31b",0,0,0,0,0,0,0,0,0
"rno-miR-379-3p",4,15,10,25,25,24,20,5,21
"rno-miR-294",2,0,0,0,0,0,1,1,0
"rno-miR-673-5p",4,3,1,1,2,1,1,2,1
"rno-miR-181b-1-3p",11,19,43,26,33,65,16,40,51
"rno-miR-181b-2-3p",7,13,6,18,5,13,1,1,0
"rno-miR-188-3p",2,0,1,1,1,0,0,1,3
"rno-miR-155-3p",12,27,12,126,43,36,76,11,18
"rno-miR-378a-5p",0,0,0,0,0,0,0,0,0
"rno-miR-3102",7,69,62,123,90,120,58,56,89
"rno-miR-344i",1,0,0,0,0,0,0,0,2
"rno-miR-127-5p",36,28,20,30,25,37,37,27,31
"rno-miR-192-5p",147,1265,737,3752,2631,3278,1272,901,1509
"rno-miR-192-3p",5,4,9,2,7,6,3,5,4
"rno-miR-3084c-3p",1,4,2,0,1,0,0,0,1
"rno-miR-874-3p",19,104,63,161,113,120,77,53,86
"rno-miR-3566",4,1,3,1,1,2,0,1,0
"rno-miR-6318",6,4,7,9,5,5,8,4,5
"rno-let-7i-3p",25,142,51,116,88,111,75,78,121
"rno-miR-328b-3p",1,0,1,0,0,0,0,0,0
"rno-miR-328a-3p",544,5606,2604,6658,6065,5955,2933,2252,4055
"rno-miR-664-1-5p",0,0,0,1,0,0,0,0,0
"rno-miR-664-2-5p",8,29,20,52,36,56,25,25,13
"rno-miR-30c-2-3p",459,1772,1323,3949,2692,2985,1497,941,1843
"rno-miR-30c-1-3p",65,326,222,668,494,605,295,228,371
"rno-miR-30b-3p",51,230,130,372,248,300,196,136,231
"rno-miR-150-3p",9,82,32,120,112,112,56,44,56
"rno-miR-6326",4,2,1,2,1,1,0,0,1
"rno-let-7c-1-3p",18,49,29,52,41,43,24,20,33
"rno-let-7a-2-3p",1,3,5,8,3,8,8,3,4
"rno-let-7g-3p",2,12,2,2,2,10,4,9,4
"rno-miR-210-3p",0,0,0,0,0,0,0,0,0
"rno-miR-134-3p",2,1,1,0,0,0,0,0,1
"rno-miR-374-3p",16,186,82,193,162,188,114,82,151
"rno-miR-879-3p",0,0,0,1,0,0,1,2,0
"rno-miR-3593-3p",0,0,2,4,3,1,3,0,2
"rno-miR-412-3p",6,1,2,1,0,0,2,2,4
"rno-miR-207",22,11,13,1,7,8,2,5,9
"rno-miR-544-5p",0,0,2,0,0,1,1,2,1
"rno-miR-30d-3p",48,270,128,416,254,297,220,166,248
"rno-miR-30e-3p",1984,12284,7472,21373,15260,17156,8300,6643,10720
"rno-miR-30a-3p",1143,6377,4133,12126,8488,10123,4775,3650,5999
